Access to formal-informal education services for children from displaced hhs,Location of formal informal education facilities services for children from displaced hhs,Distance to nearest education facility,Children at the site attending school,Sufficient learning,Trained moe teachers in this community,Reason 1,Reason 2,Reason 3,Enough teachers,Females not attending,Males not attending,Are there any people in this community skilled and willing to volunteer for education,If there were any community-led education activities would the children in your community attend,Hh,Ind,Location type,Site accessibility,Site safe area,State,LGA,Ward,Most common type of shelter,Living outside,Living emergency shelter,Living makeshift shelter,Living indoors,Security is provided on-site,Security incidents are reported in the site,Who provides the main security in the site,Most prevalent health problem,Access to health facility,Screening for malnutrition conducted on site muac,Supplementary feeding
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of documentation safety concerns,They are working lack of documentation,Yes,Yes,296,1776,IDPs,Yes,Yes,Adamawa,Demsa,Gwamba,Communal shelter,,,25%-50%,<25%,Yes,Yes,Self Organized,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Lack of teachers,School is damaged or destroyed,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of space in local schools they are working,Lack of food at home and school early marriage ,Yes,Yes,205,1230,IDPs,Yes,Yes,Adamawa,Demsa,Gwamba,Communal shelter,,,25%-50%,,Yes,Yes,Self Organized,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school they are working,Early marriage  safety concerns,Yes,Yes,196,1176,Returns,Yes,Yes,Adamawa,Demsa,Gwamba,Communal shelter,,,<25%,<25%,Yes,Yes,Self organized,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,School is damaged or destroyed,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school they are working,Safety concerns they are working,Yes,Yes,142,852,IDPs,Yes,Yes,Adamawa,Demsa,Kpasham,Communal shelter,,<25%,51%-75%,25%-50%,No,No,,Diarrhea,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",They are working lack of documentation,They are working lack of food at home and school,Yes,Yes,191,1146,IDPs,Yes,Yes,Adamawa,Demsa,Kpasham,Communal shelter,,<25%,25%-50%,<25%,Yes,Yes,Self organized,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of facilities separated by sex they are working,They are working lack of food at home and school,Yes,Yes,131,786,Returns,Yes,Yes,Adamawa,Demsa,Kpasham,Communal shelter,,<25%,<25%,,Yes,Yes,Military,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of documentation they are working,Lack of space in local schools lack of food at home and school,Yes,Yes,34,204,IDPs,Yes,Yes,Adamawa,Demsa,Mbula Kuli,Communal shelter,,,25%-50%,<25%,Yes,Yes,Self organized,Diarrhea,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of facilities separated by sex they are working,They are working safety concerns,Yes,Yes,32,192,IDPs,Yes,Yes,Adamawa,Demsa,Mbula Kuli,Communal shelter,,,25%-50%,<25%,No,Yes,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",They are working lack of documentation,They are working safety concerns,Yes,Yes,47,282,IDPs,Yes,Yes,Adamawa,Demsa,Nassarawo Demsa,Communal shelter,,,25%-50%,25%-50%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Fear of violence,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of documentation they are working,They are working safety concerns,Yes,Yes,52,312,IDPs,Yes,Yes,Adamawa,Demsa,Nassarawo Demsa,Communal shelter,,,25%-50%,25%-50%,Yes,Yes,Self Organized,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,Classrooms are crowded,Yes,Lack of teachers,School is damaged or destroyed,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of documentation,They are working,Yes,No,130,780,Returns,Yes,Yes,Adamawa,Demsa,Nassarawo Demsa,Communal shelter,,<25%,,25%-50%,No,Yes,,Malaria,Yes,No,No
Yes,Off-site,<2km,<25%,Classrooms are crowded,Yes,Lack of parental/Care givers support,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",None girls,None boys,Yes,Yes,12,87,IDPs,Yes,Yes,Adamawa,Fufore,Beti,Rented house,,,25%-50%,51%-75%,Yes,Yes,,Malaria,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms are crowded,Yes,Lack of parental/Care givers support,Work at the house,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,4,15,IDPs,Yes,Yes,Adamawa,Fufore,Beti,Rented house,,,<25%,25%-50%,No,No,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Work at the house,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,41,172,IDPs,Yes,Yes,Adamawa,Fufore,Beti,Rented house,,<25%,<25%,25%-50%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<2km,<25%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,4,34,IDPs,Yes,Yes,Adamawa,Fufore,Farang,Rented house,,,,51%-75%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<2km,<25%,Classrooms are crowded,Yes,Lack of school supplies,Work at the house,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,3,19,IDPs,Yes,Yes,Adamawa,Fufore,Farang,Rented house,,,<25%,25%-50%,Yes,Yes,Self Organized,Malaria,Yes,No,No
Yes,On-site,<2km,<25%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",None girls,None boys,Yes,Yes,5,27,IDPs,Yes,Yes,Adamawa,Fufore,Farang,Rented house,,,,51%-75%,Yes,Yes,Police,Malaria,Yes,No,Yes
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Work in the fields,Lack of school supplies,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,5,32,IDPs,Yes,Yes,Adamawa,Fufore,Farang,Rented house,,,<25%,25%-50%,Yes,Yes,Self organized,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Work at the house,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",None girls,None boys,Yes,Yes,48,159,IDPs,Yes,Yes,Adamawa,Fufore,Fufore,Rented house,,,,>75%,Yes,Yes,Police,Malaria,Yes,Yes,Yes
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of parental/Care givers support,Work in the fields,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,19,91,IDPs,Yes,Yes,Adamawa,Fufore,Fufore,Rented house,,,,>75%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",None girls,None boys,Yes,Yes,226,1034,IDPs,Yes,Yes,Adamawa,Fufore,Fufore,Emergency shelters,,25%-50%,,25%-50%,Yes,Yes,Military,Malaria,Yes,Yes,Yes
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,37,218,IDPs,Yes,Yes,Adamawa,Fufore,Fufore,Preexisting structures (Partitioned),,,<25%,51%-75%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,15,99,IDPs,Yes,Yes,Adamawa,Fufore,Gurin,Makeshift shelter (Using Local Materials),,,>75%,<25%,Yes,Yes,Police,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of food at home and school they are working,None boys,Yes,Yes,6,26,IDPs,Yes,Yes,Adamawa,Fufore,Gurin,Rented house,,,,>75%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms are crowded,Yes,Lack of parental/Care givers support,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,17,88,IDPs,Yes,Yes,Adamawa,Fufore,Gurin,Rented house,,,,>75%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of parental/Care givers support,Lack of school supplies,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",None girls,None boys,Yes,Yes,6,51,IDPs,Yes,Yes,Adamawa,Fufore,Gurin,Rented house,,,,51%-75%,Yes,Yes,Police,Malaria,Yes,Yes,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded","None, girls under 18 go to school",None boys,Yes,Yes,5,37,IDPs,Yes,Yes,Adamawa,Fufore,Gurin,Rented house,,,<25%,51%-75%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Lack of teachers,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,87,582,IDPs,Yes,Yes,Adamawa,Fufore,Mayo Ine,Emergency shelters,,25%-50%,<25%,25%-50%,Yes,Yes,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,33,178,IDPs,Yes,Yes,Adamawa,Fufore,Pariya,Rented house,,,<25%,51%-75%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of parental/Care givers support,Lack of school supplies,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded","None, girls under 18 go to school",None boys,Yes,Yes,443,3175,IDPs,Yes,Yes,Adamawa,Fufore,Pariya,Makeshift shelter (Using Local Materials),,51%-75%,<25%,<25%,Yes,Yes,Self Organized,Malaria,Yes,Yes,Yes
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Work in the fields,Lack of teachers,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",None girls,None boys,Yes,Yes,78,597,IDPs,Yes,Yes,Adamawa,Fufore,Pariya,Emergency shelters,,51%-75%,<25%,,Yes,Yes,Self Organized,Malaria,Yes,Yes,Yes
Yes,On-site,<2km,<25%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Lack of teachers,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded","None, girls under 18 go to school",None boys,Yes,Yes,157,526,IDPs,Yes,Yes,Adamawa,Fufore,Ribadu,Emergency shelters,,,>75%,,Yes,Yes,Self Organized,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,No enough learning space,Yes,Lack of parental/Care givers support,Work at the house,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,4,39,IDPs,Yes,Yes,Adamawa,Fufore,Ribadu,Makeshift shelter (Using Local Materials),,,51%-75%,<25%,Yes,Yes,Self Organized,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded","None, girls under 18 go to school",None boys,Yes,Yes,6,46,IDPs,Yes,Yes,Adamawa,Fufore,Ribadu,Makeshift shelter (Using Local Materials),,,51%-75%,<25%,Yes,Yes,Self Organized,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Fees or costs,Work in the fields,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working,None boys,No,Yes,6,46,IDPs,Yes,Yes,Adamawa,Ganye,Gamu,Communal shelter,,,,>75%,No,No,,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Work at the house,Distance to the school (too far),Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",None girls,Fees or costs,Yes,Yes,8,55,IDPs,Yes,Yes,Adamawa,Ganye,Ganye I,Communal shelter,,,,51%-75%,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Work at the house,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs,None boys,Yes,Yes,11,70,IDPs,Yes,Yes,Adamawa,Ganye,Ganye I,Accommodation by other families,,,<25%,51%-75%,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded","None, girls under 18 go to school",None boys,Yes,Yes,8,63,IDPs,Yes,Yes,Adamawa,Ganye,Ganye I,Accommodation by other families,,,,>75%,Yes,No,Local authorities,Fever,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,No,Distance to the school (too far),Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working,Lack of food at home and school,Yes,Yes,10,77,IDPs,Yes,Yes,Adamawa,Ganye,Ganye I,Accommodation by other families,,,<25%,25%-50%,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Fees or costs,Lack of school supplies,Work in the fields,Largely insufficient number of teachers/Volunteers are available,Fees or costs,Fees or costs,Yes,Yes,5,30,IDPs,Yes,Yes,Adamawa,Ganye,Ganye Ii,Accommodation by other families,,,,>75%,No,No,,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs lack of food at home and school,Fees or costs they are working,No,Yes,7,45,IDPs,Yes,Yes,Adamawa,Ganye,Ganye Ii,Accommodation by other families,,,,>75%,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",They are working fees or costs,Fees or costs they are working,Yes,Yes,7,38,IDPs,Yes,Yes,Adamawa,Ganye,Ganye Ii,Rented house,,,,>75%,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working,None boys,No,Yes,6,39,IDPs,Yes,Yes,Adamawa,Ganye,Ganye Ii,Accommodation by other families,,,,>75%,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,<25%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Lack of food at home and school,No,Yes,8,53,IDPs,Yes,Yes,Adamawa,Ganye,Ganye Ii,Accommodation by other families,,,,>75%,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs lack of food at home and school,Fees or costs lack of food at home and school,No,Yes,7,50,IDPs,Yes,Yes,Adamawa,Ganye,Ganye Ii,Accommodation by other families,,,,>75%,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs they are working,Fees or costs lack of food at home and school,Yes,Yes,4,33,IDPs,Yes,Yes,Adamawa,Ganye,Sangasumi,Rented house,,,,51%-75%,No,No,,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs,Fees or costs,Yes,Yes,5,49,IDPs,Yes,Yes,Adamawa,Ganye,Sangasumi,Accommodation by other families,,,,51%-75%,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Fees or costs,Work in the fields,Lack of parental/Care givers support,Largely insufficient number of teachers/Volunteers are available,Fees or costs,Fees or costs,No,Yes,3,36,IDPs,Yes,Yes,Adamawa,Ganye,Sangasumi,Accommodation by other families,,,,51%-75%,No,No,,Malaria,Yes,No,No
